No,Country,Latitude,Longitude,Crop,Year,Kg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
347,Angola,-11.2027,17.8739,Potatoes,2010,8742.5,1010,40,24.44
348,Angola,-11.2027,17.8739,"Rice, paddy",2010,740.3,1010,40,24.44
349,Angola,-11.2027,17.8739,Sorghum,2010,281.4,1010,40,24.44
350,Angola,-11.2027,17.8739,Soybeans,2010,444.6,1010,40,24.44
351,Angola,-11.2027,17.8739,Sweet potatoes,2010,6300.1,1010,40,24.44
223,Angola,-11.2027,17.8739,Sweet potatoes,1991,8300.1,1010,79,24.02
314,Angola,-11.2027,17.8739,Maize,2006,468.7,1010,40,24.14
281,Angola,-11.2027,17.8739,Cassava,2001,9407.2,1010,40,24.43
289,Angola,-11.2027,17.8739,Cassava,2002,11007.1,1010,40,24.79
245,Angola,-11.2027,17.8739,Potatoes,1995,7673.8,1010,336,24.56
246,Angola,-11.2027,17.8739,"Rice, paddy",1995,1461.5,1010,336,24.56
247,Angola,-11.2027,17.8739,Sweet potatoes,1995,8113.8,1010,336,24.56
248,Angola,-11.2027,17.8739,Wheat,1995,1185.5,1010,336,24.56
259,Angola,-11.2027,17.8739,Sweet potatoes,1997,7809.8,1010,40,24.06
280,Angola,-11.2027,17.8739,Wheat,2000,1702.3,1010,40,24.41
218,Angola,-11.2027,17.8739,Wheat,1990,799.5,1010,64,24.12
303,Angola,-11.2027,17.8739,Sweet potatoes,2004,4536,1010,40,24.22
304,Angola,-11.2027,17.8739,Wheat,2004,1244.2,1010,40,24.22
320,Angola,-11.2027,17.8739,Wheat,2006,1000,1010,40,24.14
243,Angola,-11.2027,17.8739,Cassava,1995,5100,1010,336,24.56
352,Angola,-11.2027,17.8739,Wheat,2010,1052.6,1010,40,24.44
362,Angola,-11.2027,17.8739,Maize,2012,777,1010,40,24.24
255,Angola,-11.2027,17.8739,Cassava,1997,4420.5,1010,40,24.06
256,Angola,-11.2027,17.8739,Maize,1997,595.9,1010,40,24.06
257,Angola,-11.2027,17.8739,Potatoes,1997,6857.1,1010,40,24.06
258,Angola,-11.2027,17.8739,"Rice, paddy",1997,2000,1010,40,24.06
233,Angola,-11.2027,17.8739,Potatoes,1993,7000,1010,169,24.15
260,Angola,-11.2027,17.8739,Wheat,1997,1550.9,1010,40,24.06
374,Angola,-11.2027,17.8739,Soybeans,2013,440.5,1010,40,24.55
333,Angola,-11.2027,17.8739,Sorghum,2008,92.9,1010,40,24.27
354,Angola,-11.2027,17.8739,Maize,2011,737.6,1010,40,24.15
226,Angola,-11.2027,17.8739,Maize,1992,377.8,1010,23,23.96
224,Angola,-11.2027,17.8739,Wheat,1991,800,1010,79,24.02
361,Angola,-11.2027,17.8739,Cassava,2012,10007.3,1010,40,24.24
227,Angola,-11.2027,17.8739,Potatoes,1992,4000,1010,23,23.96
229,Angola,-11.2027,17.8739,Sweet potatoes,1992,9000,1010,23,23.96
230,Angola,-11.2027,17.8739,Wheat,1992,800,1010,23,23.96
311,Angola,-11.2027,17.8739,Sweet potatoes,2005,4615.9,1010,40,24.41
231,Angola,-11.2027,17.8739,Cassava,1993,4229.5,1010,169,24.15
366,Angola,-11.2027,17.8739,Soybeans,2012,164.1,1010,40,24.24
324,Angola,-11.2027,17.8739,"Rice, paddy",2007,514.3,1010,40,24.24
325,Angola,-11.2027,17.8739,Sorghum,2007,403.1,1010,40,24.24
269,Angola,-11.2027,17.8739,Potatoes,1999,5459.7,1010,40,24.37
270,Angola,-11.2027,17.8739,"Rice, paddy",1999,1423.5,1010,40,24.37
271,Angola,-11.2027,17.8739,Sweet potatoes,1999,8286.5,1010,40,24.37
222,Angola,-11.2027,17.8739,"Rice, paddy",1991,1000,1010,79,24.02
242,Angola,-11.2027,17.8739,Wheat,1994,1000,1010,25.5,24.04
221,Angola,-11.2027,17.8739,Potatoes,1991,4000,1010,79,24.02
228,Angola,-11.2027,17.8739,"Rice, paddy",1992,910.6,1010,23,23.96
363,Angola,-11.2027,17.8739,Potatoes,2012,6938.1,1010,40,24.24
364,Angola,-11.2027,17.8739,"Rice, paddy",2012,770.3,1010,40,24.24
365,Angola,-11.2027,17.8739,Sorghum,2012,99.8,1010,40,24.24
264,Angola,-11.2027,17.8739,"Rice, paddy",1998,2000,1010,40,24.96
367,Angola,-11.2027,17.8739,Sweet potatoes,2012,5295.4,1010,40,24.24
368,Angola,-11.2027,17.8739,Wheat,2012,1125.8,1010,40,24.24
317,Angola,-11.2027,17.8739,Sorghum,2006,409.1,1010,40,24.14
318,Angola,-11.2027,17.8739,Soybeans,2006,428.6,1010,40,24.14
319,Angola,-11.2027,17.8739,Sweet potatoes,2006,4424,1010,40,24.14
296,Angola,-11.2027,17.8739,Wheat,2002,1545.5,1010,40,24.79
307,Angola,-11.2027,17.8739,Potatoes,2005,2364.6,1010,40,24.41
220,Angola,-11.2027,17.8739,Maize,1991,401.3,1010,79,24.02
355,Angola,-11.2027,17.8739,Potatoes,2011,8136.6,1010,40,24.15
